crop_name,country_code,adm_id,planted_area,harvest_area,harvest_year,yield,production
White maize,MX,MX28,115063.632,89970.61,2017,2.623,0.236
White maize,MX,MX29,116209.844,108042.28,2017,2.629,0.284
White maize,MX,MX30,482015.975,451067.64,2017,1.668,0.752
White maize,MX,MX02,635.865,635.865,2019,9.886,0.006
White maize,MX,MX03,5596.003,5511.54,2019,6.871,0.038
White maize,MX,MX07,412950.845,395995.112,2019,2.738,1.084
Yellow maize,MX,MX08,287635.764,281470.829,2019,8.815,2.481
White maize,MX,MX08,43774.042,38248.486,2019,2.643,0.101
White maize,MX,MX10,75580.912,63446.434,2019,4.706,0.299
White maize,MX,MX12,461825.985,394182.232,2019,1.855,0.731
White maize,MX,MX13,242242.611,183654.095,2019,3.274,0.601
White maize,MX,MX14,442494.441,437268.561,2019,7.799,3.41
White maize,MX,MXnan,321974.216,305118.05,2019,2.037,0.621
White maize,MX,MXnan,450131.59,406395.139,2019,5.567,2.262
White maize,MX,MX18,61845.418,60488.22,2019,6.314,0.382
White maize,MX,MX19,105647.024,61626.936,2019,0.908,0.056
White maize,MX,MX20,427094.219,350508.937,2019,,
White maize,MX,MX21,344074.714,322530.026,2019,2.159,0.696
White maize,MX,MX22,79568.838,61770.749,2019,,
White maize,MX,MX25,732351.149,722893.418,2019,10.354,7.485
White maize,MX,MXnan,384446.634,324958.306,2019,,
White maize,MX,MX32,211703.872,133763.563,2019,2.146,0.287
White maize,MX,MX01,44560.628,38898.884,2022,2.447,0.095
Yellow maize,MX,MX01,981.777,904.469,2022,4.535,0.004
White maize,MX,MX02,1370.73,1350.206,2022,11.158,0.015
Yellow maize,MX,MX02,453.96,453.96,2022,11.22,0.005
White maize,MX,MX03,3817.62,3732.12,2022,8.369,0.031
Yellow maize,MX,MX03,36.88,35.88,2022,6.942,0.0
White maize,MX,MX04,126028.641,113303.158,2022,2.536,0.287
Yellow maize,MX,MX04,17362.141,15787.22,2022,2.747,0.043
White maize,MX,MX05,17794.089,10392.153,2022,1.667,0.017
Yellow maize,MX,MX05,2073.241,1818.409,2022,2.388,0.004
White maize,MX,MX06,6605.254,6139.979,2022,3.826,0.023
Yellow maize,MX,MX06,1291.864,1171.481,2022,5.608,0.007
White maize,MX,MX07,512845.337,499886.795,2022,2.053,1.026
Yellow maize,MX,MX07,163886.994,161132.611,2022,1.742,0.281
White maize,MX,MX08,79512.007,72269.914,2022,3.301,0.239
Yellow maize,MX,MX08,161069.417,158881.364,2022,10.346,1.644
White maize,MX,MX09,1993.63,1795.351,2022,1.841,0.003
Yellow maize,MX,MX09,79.648,70.664,2022,3.281,0.0
White maize,MX,MX10,111357.346,101653.502,2022,2.714,0.276
Yellow maize,MX,MX10,12204.989,11261.308,2022,4.475,0.05
White maize,MX,MX11,443332.459,376269.246,2022,5.572,2.097
Yellow maize,MX,MX11,8612.102,7737.389,2022,7.779,0.06
White maize,MX,MX12,459751.784,445904.764,2022,2.381,1.062
Yellow maize,MX,MX12,18771.082,18310.251,2022,3.898,0.071
White maize,MX,MX13,194602.97,140404.865,2022,3.706,0.52
Yellow maize,MX,MX13,18533.451,14509.583,2022,1.498,0.022
White maize,MX,MX14,400120.139,385187.001,2022,7.246,2.791
Yellow maize,MX,MX14,61755.954,57286.312,2022,7.194,0.412
White maize,MX,MX15,329760.617,299513.825,2022,2.339,0.701
Yellow maize,MX,MX15,25601.312,23595.294,2022,3.217,0.076
White maize,MX,MX16,428824.768,404601.844,2022,4.565,1.847
Yellow maize,MX,MX16,16632.504,15868.826,2022,5.397,0.086
White maize,MX,MX17,44529.224,42444.958,2022,4.516,0.192
Yellow maize,MX,MX17,6057.154,5772.738,2022,6.053,0.035
White maize,MX,MX18,52116.892,49757.793,2022,4.489,0.223
Yellow maize,MX,MX18,5280.403,4869.447,2022,5.817,0.028
White maize,MX,MX19,64203.759,15758.235,2022,1.288,0.02
Yellow maize,MX,MX19,1108.114,728.994,2022,3.276,0.002
White maize,MX,MX20,364353.848,316840.293,2022,1.024,0.324
Yellow maize,MX,MX20,35832.872,32438.812,2022,1.45,0.047
White maize,MX,MX21,512655.52,350189.294,2022,1.462,0.512
Yellow maize,MX,MX21,13837.479,10358.802,2022,1.94,0.02
White maize,MX,MX22,78316.912,45961.082,2022,3.389,0.156
Yellow maize,MX,MX22,4188.892,2367.831,2022,3.368,0.008
White maize,MX,MX23,33147.699,28149.461,2022,0.666,0.019
Yellow maize,MX,MX23,7768.722,6755.014,2022,2.219,0.015
White maize,MX,MX24,179777.496,101230.551,2022,0.991,0.1
Yellow maize,MX,MX24,10757.389,7356.594,2022,1.273,0.009
White maize,MX,MX25,640218.461,634964.368,2022,11.735,7.451
Yellow maize,MX,MX25,6567.944,6433.721,2022,7.723,0.05
White maize,MX,MX26,16871.112,16655.18,2022,10.535,0.175
Yellow maize,MX,MX26,2749.302,2724.359,2022,10.59,0.029
White maize,MX,MX27,59447.624,50654.306,2022,1.317,0.067
Yellow maize,MX,MX27,3.5,3.5,2022,2.486,0.0
White maize,MX,MX28,121303.938,103284.276,2022,3.376,0.349
Yellow maize,MX,MX28,42832.945,42247.147,2022,5.545,0.234
White maize,MX,MX29,109051.689,93969.745,2022,2.219,0.209
Yellow maize,MX,MX29,8797.621,7120.52,2022,3.826,0.027
White maize,MX,MX30,370799.208,332432.165,2022,1.774,0.59
Yellow maize,MX,MX30,18704.692,16222.201,2022,2.388,0.039
White maize,MX,MX31,46529.373,39882.192,2022,1.192,0.048
Yellow maize,MX,MX31,19460.753,17457.572,2022,2.674,0.047
White maize,MX,MX32,221427.798,186013.779,2022,2.475,0.46
Yellow maize,MX,MX32,16978.2,16151.56,2022,7.443,0.12
