country,advisor,model,candidate_id,selected_k,split,mape_mean,normalized_rmse_mean,r_mean,r2_mean,kge_mean,mape_variance,normalized_rmse_variance,r_variance,r2_variance,kge_variance
CN,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,train,0.0624,9.4664,0.9092,0.8235,0.8263,0,0,0,0,0
CN,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,test,0.09932,12.72242,0.78308,0.55442,0.67482,5.997E-06,0.102620557,0.000974452,0.000511042,0.000482767
CN,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,train,0.15512,17.98386,0.65784,0.3596,0.52418,0.000373127,2.153692603,0.000880023,0.011202285,0.002882357
CN,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,test,0.0999,12.03464,0.88346,0.60136,0.76672,5.345E-06,0.055530143,2.3778E-05,0.000241243,2.7817E-05
CN,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,train,0.01814,2.19436,0.996,0.99052,0.95968,0.000000013,0.000634753,1.5E-08,4.7E-08,2.82E-07
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.10706,12.802,0.78744,0.54864,0.71834,1.6818E-05,0.173847285,0.000513268,0.000870793,0.000992063
CN,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.14528,16.43006,0.73402,0.46746,0.61762,3.3517E-05,0.520136713,0.001858492,0.002198288,0.012160162
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,test,0.1081,12.9881,0.8455,0.5358,0.7468,0,0,0,0,0
CN,qwen_rag,ridge,rag1_rag_historical_regime,60,train,0.109,13.5171,0.8003,0.6401,0.7113,0,0,0,0,0
CN,qwen_rag,svr,rag1_rag_historical_regime,60,test,0.0829,10.4796,0.8747,0.6978,0.8048,0,0,0,0,0
CN,qwen_rag,svr,rag1_rag_historical_regime,60,train,0.063,9.6797,0.9048,0.8154,0.8207,0,0,0,0,0
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,test,0.09948,12.49992,0.8077,0.5698,0.65824,0.000010322,0.120184412,0.00014578,0.000563525,0.000470068
CN,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,train,0.14708,16.9274,0.6974,0.43544,0.51788,2.6417E-05,0.120715865,0.000314075,0.000537708,0.000887017
CN,qwen_rag,xgboost,rag1_rag_historical_regime,60,test,0.09444,11.2831,0.89368,0.64968,0.79344,5.73E-07,0.002739725,2.947E-06,0.000010757,6.3203E-05
CN,qwen_rag,xgboost,rag1_rag_historical_regime,60,train,0.0192,2.34486,0.99542,0.98918,0.95694,2.5E-08,0.000411488,7E-09,3.7E-08,2.93E-07
MX,hardcode,cnn1d,baseline,60,test,0.68516,54.83516,0.7281,0.4843,0.48656,0.003343023,12.81097677,0.002938925,0.00440332,0.001180763
MX,hardcode,cnn1d,baseline,60,train,0.40552,40.93182,0.7633,0.57304,0.53958,0.005798672,46.94680388,0.008265655,0.018459613,0.010694207
MX,hardcode,ridge,baseline,60,test,0.4756,41.303,0.849,0.7084,0.7459,0,0,0,0,0
MX,hardcode,ridge,baseline,60,train,0.2323,28.0277,0.8972,0.8042,0.8183,0,0,0,0,0
MX,hardcode,svr,baseline,60,test,0.4764,40.5392,0.8683,0.7191,0.6613,0,0,0,0,0
MX,hardcode,svr,baseline,60,train,0.087,22.9173,0.9367,0.8691,0.8389,0,0,0,0,0
MX,hardcode,transformer_flat,baseline,60,test,0.83046,75.07336,0.10928,0.03608,-0.26242,0.001207878,4.410582268,0.037367327,0.002875387,0.052182457
MX,hardcode,transformer_flat,baseline,60,train,0.69466,62.42606,0.14414,0.02788,-0.3494,0.001856893,4.021039223,0.019782113,0.003729292,0.041019055
MX,hardcode,xgboost,baseline,60,test,0.60182,47.67924,0.82556,0.61104,0.56744,0.000370102,2.846497118,0.000309398,0.000729378,0.000402878
MX,hardcode,xgboost,baseline,60,train,0.00126,0.12218,1,1,0.99912,0.000000038,0.000203012,0,0,1.2E-08
MX,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,test,0.728,57.92838,0.70114,0.42588,0.53164,0.004706345,4.204945812,0.000298673,0.001649302,0.004784043
MX,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,train,0.3947,37.46814,0.80748,0.63858,0.59044,0.00650378,57.71044519,0.010543957,0.021621237,0.005860103
MX,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,test,0.5895,56.4223,0.7693,0.4559,0.7091,0,0,0,0,0
MX,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,train,0.2348,24.258,0.9244,0.8533,0.8395,0,0,0,0,0
MX,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,test,0.5313,41.9447,0.8605,0.6993,0.6515,0,0,0,0,0
MX,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,train,0.0854,18.0623,0.9592,0.9187,0.902,0,0,0,0,0
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,test,0.84168,75.27914,0.03592,0.03016,-0.33108,0.004657807,8.973069228,0.044312062,0.005628213,0.067820192
MX,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,train,0.68218,62.01952,0.25584,0.03986,-0.27368,0.002409452,7.140074217,0.014120288,0.006431743,0.044283217
MX,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,test,0.6,48.1104,0.82116,0.60384,0.56134,0.000932375,3.987010605,0.000585143,0.001098853,0.000206163
MX,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,train,0.00126,0.1229,1,1,0.99906,8E-09,6.05E-05,0,0,8E-09
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.54954,50.4675,0.77368,0.56458,0.53626,0.000458713,0.653494705,4.4087E-05,0.000194312,0.000340133
MX,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.31384,32.5017,0.87272,0.73628,0.66876,0.000626473,2.160516325,0.000110427,0.000568667,0.001302558
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,test,0.5017,44.4077,0.8238,0.6629,0.6512,0,0,0,0,0
MX,qwen_rag,ridge,rag1_rag_historical_regime,60,train,0.2353,27.4021,0.9022,0.8128,0.8254,0,0,0,0,0
MX,qwen_rag,svr,rag1_rag_historical_regime,60,test,0.434,37.6104,0.8969,0.7582,0.669,0,0,0,0,0
MX,qwen_rag,svr,rag1_rag_historical_regime,60,train,0.0901,23.1064,0.9381,0.8669,0.8314,0,0,0,0,0
MX,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,test,0.84062,73.92412,0.26076,0.06526,-0.08632,0.001407597,5.137080077,0.011399603,0.003309263,0.040202497
MX,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,train,0.62156,58.75866,0.39068,0.136,-0.0296,0.003619508,17.3470471,0.016053632,0.01526834,0.073119875
MX,qwen_rag,xgboost,rag1_rag_historical_regime,60,test,0.57684,45.69432,0.84746,0.64286,0.58028,0.000128293,1.928298017,0.000202508,0.000479438,0.000322987
MX,qwen_rag,xgboost,rag1_rag_historical_regime,60,train,0.0014,0.13264,1,1,0.99902,0.00000002,0.000154508,0,0,7E-09
PT,hardcode,cnn1d,baseline,60,test,0.25342,30.51032,0.89258,0.21556,0.59084,0.000101832,2.464436287,0.000550117,0.006638223,0.000819593
PT,hardcode,cnn1d,baseline,60,train,0.14474,17.64452,0.90822,0.82194,0.81802,0.000113973,0.310159587,4.2067E-05,0.000128918,0.000278332
PT,hardcode,ridge,baseline,60,test,0.2452,27.5909,0.8607,0.3599,0.7187,0,0,0,0,0
PT,hardcode,ridge,baseline,60,train,0.0893,10.3172,0.9694,0.9392,0.9123,0,0,0,0,0
PT,hardcode,svr,baseline,60,test,0.2089,27.0744,0.8385,0.3836,0.6659,0,0,0,0,0
PT,hardcode,svr,baseline,60,train,0.0577,11.4296,0.9631,0.9253,0.89,0,0,0,0,0
PT,hardcode,transformer_flat,baseline,60,test,0.2963,34.6045,0.81592,-0.0128,0.53626,0.00081292,8.66553399,0.013091437,0.03199332,0.016304283
PT,hardcode,transformer_flat,baseline,60,train,0.27756,32.59258,0.66486,0.39216,0.41432,7.1003E-05,1.796902072,0.000162788,0.002626468,0.003035457
PT,hardcode,xgboost,baseline,60,test,0.221,28.51206,0.8299,0.31626,0.66118,3.5705E-05,0.194122418,1.7195E-05,0.000445823,9.4437E-05
PT,hardcode,xgboost,baseline,60,train,0.00098,0.09788,1,1,0.99922,0.000000007,6.0482E-05,0,0,7E-09
PT,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,test,0.25894,31.51834,0.88972,0.16426,0.6087,2.5018E-05,0.555223003,9.8172E-05,0.001588243,0.000127895
PT,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,train,0.14906,20.4932,0.89132,0.75796,0.77306,7.3478E-05,4.484109655,0.000061617,0.002663858,0.002686348
PT,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,test,0.2382,27.5558,0.8588,0.3615,0.7103,0,0,0,0,0
PT,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,train,0.0875,10.5397,0.9681,0.9365,0.9039,0,0,0,0,0
PT,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,test,0.2118,28.6758,0.797,0.3085,0.6571,0,0,0,0,0
PT,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,train,0.0608,11.5374,0.962,0.9239,0.8988,0,0,0,0,0
PT,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,test,0.28568,34.54832,0.81958,-0.01062,0.51004,0.000892427,10.30489312,0.005872357,0.036476262,0.013630523
PT,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,train,0.26022,31.70468,0.68496,0.42512,0.4341,4.9437E-05,1.027756482,0.000187183,0.001386207,0.00068846
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,test,0.20988,27.98646,0.84178,0.34102,0.69338,4.2277E-05,0.498962288,0.000108332,0.001094207,0.000171867
PT,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,train,0.00082,0.08246,1,1,0.99934,1.2E-08,0.000053108,0,0,1.8E-08
PT,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.26348,31.1731,0.89034,0.18232,0.58292,3.4002E-05,0.778215265,0.000277333,0.002129667,0.000286137
PT,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.14934,17.95292,0.9072,0.81574,0.81892,0.000303148,0.197852087,0.000020845,8.4068E-05,0.000285442
PT,qwen_rag,ridge,rag1_rag_historical_regime,60,test,0.2374,28.2975,0.8196,0.3266,0.7038,0,0,0,0,0
PT,qwen_rag,ridge,rag1_rag_historical_regime,60,train,0.0946,10.57,0.9679,0.9362,0.8945,0,0,0,0,0
PT,qwen_rag,svr,rag1_rag_historical_regime,60,test,0.2114,27.0367,0.8436,0.3853,0.6625,0,0,0,0,0
PT,qwen_rag,svr,rag1_rag_historical_regime,60,train,0.0615,11.0284,0.9649,0.9305,0.8916,0,0,0,0,0
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,test,0.296,34.41992,0.7886,-0.00272,0.5152,0.001685145,9.624422972,0.01437329,0.034246657,0.01603882
PT,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,train,0.31406,34.06656,0.6542,0.32504,0.31456,0.005409078,25.73197051,0.001455875,0.047130923,0.064017303
PT,qwen_rag,xgboost,rag1_rag_historical_regime,60,test,0.20568,26.5302,0.85972,0.40794,0.69766,0.000019272,0.292198735,1.5327E-05,0.000579573,3.8448E-05
PT,qwen_rag,xgboost,rag1_rag_historical_regime,60,train,0.00094,0.09502,1,1,0.99918,0.000000013,0.000150902,0,0,1.7E-08
ZA,hardcode,cnn1d,baseline,60,test,0.18006,21.64376,0.86182,0.52218,0.70458,9.483E-06,0.842065943,0.000177037,0.001655617,0.000534107
ZA,hardcode,cnn1d,baseline,60,train,0.14798,15.7711,0.93594,0.87472,0.8322,0.000022302,0.48511464,3.5068E-05,0.000125952,4.831E-05
ZA,hardcode,ridge,baseline,60,test,0.1782,19.9417,0.9336,0.595,0.6209,0,0,0,0,0
ZA,hardcode,ridge,baseline,60,train,0.1007,10.1385,0.974,0.9483,0.9089,0,0,0,0,0
ZA,hardcode,svr,baseline,60,test,0.1816,21.5262,0.9231,0.5281,0.7238,0,0,0,0,0
ZA,hardcode,svr,baseline,60,train,0.0431,5.1065,0.9938,0.9869,0.9585,0,0,0,0,0
ZA,hardcode,transformer_flat,baseline,60,test,0.18774,21.94782,0.85512,0.5093,0.6678,0.000042113,0.094333602,0.000106817,0.00018855,0.000309945
ZA,hardcode,transformer_flat,baseline,60,train,0.20792,20.55848,0.89116,0.78592,0.7851,0.000125312,3.749713927,0.000532603,0.001639452,0.00132579
ZA,hardcode,xgboost,baseline,60,test,0.17648,24.06246,0.84164,0.41008,0.70206,6.397E-06,0.257516133,0.000139983,0.000622057,0.000110193
ZA,hardcode,xgboost,baseline,60,train,0.00198,0.22632,1,1,0.99814,0.000000007,5.9397E-05,0,0,3E-09
ZA,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,test,0.19154,23.5675,0.82516,0.43344,0.73974,6.4898E-05,1.065096295,0.000243493,0.002424568,0.000229393
ZA,qwen_base,cnn1d,sample1_extreme_heat_drought_syndrome,60,train,0.21986,23.4325,0.871,0.71446,0.75222,0.001458578,23.25901658,0.001524005,0.015116863,0.004746407
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,test,0.1918,20.9858,0.927,0.5515,0.6638,0,0,0,0,0
ZA,qwen_base,ridge,sample1_extreme_heat_drought_syndrome,60,train,0.0962,10.1664,0.9739,0.948,0.9223,0,0,0,0,0
ZA,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,test,0.1823,21.4245,0.9193,0.5325,0.7465,0,0,0,0,0
ZA,qwen_base,svr,sample1_extreme_heat_drought_syndrome,60,train,0.0475,6.17,0.9906,0.9809,0.9584,0,0,0,0,0
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,test,0.1936,22.5233,0.84664,0.4828,0.66712,3.9595E-05,0.622983855,0.000177983,0.001325245,0.002156372
ZA,qwen_base,transformer_flat,sample1_extreme_heat_drought_syndrome,60,train,0.21002,20.53952,0.8936,0.78672,0.79922,8.3577E-05,2.696066347,0.00019811,0.001192392,0.002078947
ZA,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,test,0.17926,21.78554,0.8989,0.51636,0.72216,0.000004408,0.302857948,6.9475E-05,0.000603628,0.000115048
ZA,qwen_base,xgboost,sample1_extreme_heat_drought_syndrome,60,train,0.0018,0.19676,1,1,0.99834,0.000000015,0.000142463,0,0,8E-09
ZA,qwen_rag,cnn1d,rag1_rag_historical_regime,60,test,0.18434,21.75848,0.86266,0.51738,0.73656,0.000027363,0.525613702,0.000104153,0.001029457,0.000185123
ZA,qwen_rag,cnn1d,rag1_rag_historical_regime,60,train,0.16592,18.57756,0.91972,0.82516,0.78062,0.000184427,3.145727498,0.000195812,0.001078548,0.001385887
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,test,0.1855,21.5882,0.9122,0.5253,0.6356,0,0,0,0,0
ZA,qwen_rag,ridge,rag1_rag_historical_regime,60,train,0.0927,9.8878,0.9752,0.9508,0.9223,0,0,0,0,0
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,test,0.1669,19.3508,0.932,0.6186,0.7687,0,0,0,0,0
ZA,qwen_rag,svr,rag1_rag_historical_regime,60,train,0.0465,5.3012,0.9932,0.9859,0.9596,0,0,0,0,0
ZA,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,test,0.18974,21.68956,0.86122,0.52052,0.7005,0.000019273,0.426851113,0.000107757,0.000822197,0.000626105
ZA,qwen_rag,transformer_flat,rag1_rag_historical_regime,60,train,0.20174,19.40544,0.90538,0.80958,0.8054,0.000021453,2.489238428,0.000113532,0.001031172,0.001793415
ZA,qwen_rag,xgboost,rag1_rag_historical_regime,60,test,0.17322,23.48056,0.85256,0.43844,0.68874,3.847E-06,0.045059108,0.000033788,0.000103118,4.2773E-05
ZA,qwen_rag,xgboost,rag1_rag_historical_regime,60,train,0.00182,0.20146,1,1,0.99824,0.000000012,0.000119213,0,0,1.3E-08
