country,model,checkpoint_sha256,test_years,n_features,repeat,seed,split,mape,normalized_rmse,r,r2,kge
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,3,2060,train,0.015,2.0772,0.9992,0.9978,0.9757
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,3,2060,test,0.1589,18.0882,0.941,0.6668,0.7389
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,4,3069,train,0.0143,2.0004,0.9993,0.998,0.9763
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,4,3069,test,0.1577,17.9363,0.9432,0.6723,0.7353
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,5,4078,train,0.0146,2.0335,0.9993,0.9979,0.9751
ZA,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2017;2018;2019;2020;2021;2022,112,5,4078,test,0.1553,17.6511,0.9477,0.6827,0.7447
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,1,42,train,0.0139,1.7734,0.9997,0.9992,0.9862
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,1,42,test,0.3319,28.5339,0.9453,0.8608,0.7779
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,2,1051,train,0.0159,2.1376,0.9996,0.9989,0.9812
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,2,1051,test,0.3128,29.3115,0.9386,0.8532,0.7765
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,3,2060,train,0.015,2.0109,0.9996,0.999,0.9846
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,3,2060,test,0.3172,28.0633,0.9469,0.8654,0.7743
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,4,3069,train,0.0164,1.9312,0.9997,0.9991,0.9839
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,4,3069,test,0.2926,27.4675,0.9485,0.871,0.7822
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,5,4078,train,0.0153,1.9207,0.9997,0.9991,0.984
MX,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2022,126,5,4078,test,0.3328,29.7554,0.938,0.8487,0.7785
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,1,42,train,0.0196,2.1763,0.9997,0.9988,0.9745
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,1,42,test,0.33,28.2831,0.948,0.8633,0.7754
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,2,1051,train,0.0201,2.3545,0.9997,0.9986,0.9727
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,2,1051,test,0.3074,28.4033,0.9451,0.8621,0.7754
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,3,2060,train,0.0202,2.2223,0.9997,0.9988,0.9749
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,3,2060,test,0.3103,27.4603,0.9516,0.8711,0.7726
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,4,3069,train,0.021,2.2103,0.9997,0.9988,0.9731
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,4,3069,test,0.3006,28.1752,0.9453,0.8643,0.7806
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,5,4078,train,0.0206,2.2569,0.9997,0.9987,0.9735
MX,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2022,126,5,4078,test,0.3215,29.1836,0.9423,0.8544,0.7736
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,1,42,train,0.0101,1.8533,0.9991,0.998,0.9876
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,1,42,test,0.1963,25.1152,0.8775,0.4696,0.6979
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,2,1051,train,0.0097,1.7766,0.9992,0.9982,0.9873
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,2,1051,test,0.2086,26.3882,0.8708,0.4144,0.675
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,3,2060,train,0.0102,1.5874,0.9993,0.9986,0.9873
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,3,2060,test,0.201,25.4509,0.8761,0.4553,0.6852
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,4,3069,train,0.0093,1.7401,0.9992,0.9983,0.9887
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,4,3069,test,0.2003,25.1461,0.8791,0.4683,0.693
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,5,4078,train,0.0099,1.717,0.9992,0.9983,0.988
PT,tabpfn_base,311ce18d97e9533d8585eaadafe040fbdd8070533209ed8696641dadc97a7301,2016;2017;2018;2019;2020,126,5,4078,test,0.2052,25.9785,0.8693,0.4325,0.6798
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,1,42,train,0.0141,2.134,0.9989,0.9974,0.9772
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,1,42,test,0.1921,24.5916,0.8861,0.4915,0.7002
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,2,1051,train,0.0122,1.8743,0.9992,0.998,0.9797
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,2,1051,test,0.2019,25.7133,0.8784,0.444,0.6789
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,3,2060,train,0.0139,1.9581,0.9991,0.9978,0.9771
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,3,2060,test,0.1952,24.8822,0.8849,0.4794,0.6886
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,4,3069,train,0.0121,1.9836,0.9991,0.9978,0.979
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,4,3069,test,0.1946,24.6852,0.8884,0.4876,0.6963
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,5,4078,train,0.0129,1.9749,0.9991,0.9978,0.9783
PT,tabpfn_cn_finetuned,53119ca48958a7b7eb5ca06752eecc2348f0b2ffa58d45d4f5ae79f02793f630,2016;2017;2018;2019;2020,126,5,4078,test,0.1997,25.4972,0.8772,0.4533,0.6817
